URL,Price,Address,Bedrooms,Bathrooms,House_Size,Land_Size,Description
https://ikman.lk/en/ad/luxury-house-with-central-ac-for-sale-from-piliyandala-ganewatte-rd-for-sale-colombo,49500000,Ganewatta Rd Mampe Piliyandala,4,5,"3,300.0 sqft",9.4 perches,Luxury House in Ganewatta Rd Mampe Piliyandala - SOLAR POWERED 10 kw* 9.4 p* 3300 SQFT* 4 Bedrooms* 5 Bathrooms ( 4 Attached ) Hot Water* Store Room* Large Living - Dining - Fully Fitted Pantry Kitche
https://ikman.lk/en/ad/af460-02-bed-room-with-furniture-sale-at-nawala-road-for-sale-colombo,46000000,Nawala Road Nawala,2,2,"1,100.0 sqft",10.0 perches,02 Bed Room With Furniture Sale At Nawala Road NawalaNo of rooms: 2No of bathrooms: 2🌟Property Features🌟AC ROOMS🌟SWIMMING POOL🌟24 HOUR SECURITY🌟LUXURY SPECS🌟HOT WATER②🌟HOME SECURITY SYSTEM🌟ROOF TOP GA
https://ikman.lk/en/ad/luxury-modern-house-for-sale-in-pannipitiya-facing-a-paddy-field-for-sale-colombo,49500000,Pannipitiya,5,4,"3,500.0 sqft",10.0 perches,Modern House For Sale in Pannipitiya Facing a Paddy Field* 10 perches* 3500 SQFT* 5 Bedrooms ( With 3 AC)* 4 Bathrooms( With Hot-Water )* Servant Room & Washroom* Large Living With Open Pantry & Anoth
https://ikman.lk/en/ad/ip420-165-p-02-story-house-sale-at-d-wejesinghe-mawatha-pelawatha-for-sale-colombo-1,52800000,"D.P. Wijesinghe Mawatha, Pelawaththa",4,3,"2,800.0 sqft",16.5 perches,"16.5 P 02 Story House Sale At D P Wejesinghe mawatha Pelawatha …..🏡 16.5 P + 8.2 P = 24.7 Perches WithHouse for sale. Battaramulla🏡20 feet ,🏡 16.5  perches🏡2 storied +2800 Square feet.🏡4 bed 3 bath 03"
https://ikman.lk/en/ad/single-story-3-bedrooms-house-for-sale-in-piliyandala-kesbawa-for-sale-colombo-14,22500000,Kesbawa - SOS road,3,2,"1,478.0 sqft",8.0 perches,𝐀𝐥𝐦𝐨𝐬𝐭 𝐍𝐞𝐰 𝟑 𝐁𝐞𝐝𝐫𝐨𝐨𝐦𝐬 𝐇𝐨𝐮𝐬𝐞 𝐟𝐨𝐫 𝐬𝐚𝐥𝐞 𝐢𝐧 𝐏𝐢𝐥𝐢𝐲𝐚𝐧𝐝𝐚𝐥𝐚 𝐊𝐞𝐬𝐛𝐚𝐰𝐚පිළියන්දල - කැස්බෑව හන්දියට ආසන්නයෙන් මෑතකදී සෑදු නිදන කාමර 3කින් සහ නාන කාමර 2කින් සමන්විත නිවස විකිණීමට.පොළව සම්පුර්ණයෙන් ටයිල් කර ෆිනිෂින්
https://ikman.lk/en/ad/stunning-family-home-for-sale-thalawathugoda-for-sale-colombo-90,54000000,Baththaramulla,5,3,"2,800.0 sqft",10.5 perches,"(SE1535)🏡 Stunning Family Home for Sale – Thalawathugoda 🌿💰 Price: Rs. 54,000,000 – 54 Million – 540 Lakhs🛏️ Bedrooms: 5🚿 Bathrooms: 3 (+1 Maid’s Bathroom)📏 House Size: 2,800 sq.ft.🌳 Land Size: 10.5 P"
https://ikman.lk/en/ad/well-build-house-for-sale-malabe-for-sale-colombo-2,39500000,Malabe,4,3,"2,800.0 sqft",11.0 perches,Two Storied Good Condition House Sale Malabe11 Perches & 2800 SQ Ft20 Ft Road4 Bedrooms3 BathroomsServant RoomModern PantrySpacious Living / Dining AreaBalconies3 Parking SpacePipe Born Water / Electr
https://ikman.lk/en/ad/modern-02-story-house-for-sale-kottawa-for-sale-colombo,29500000,"Rukmalgama , Kottawa",3,2,"1,553.0 sqft",8.75 perches,"03 Spacious Bedrooms, including a Master Bedroom with attached bathroom & A/C02 Bathrooms with quality fittingsBright and spacious living area, perfect for relaxing and entertaining guestsSeparate TV "
https://ikman.lk/en/ad/two-storey-house-for-sale-in-battaramulla-ds1212-for-sale-colombo,100000000,Battaramulla,4,3,"3,000.0 sqft",11.6 perches,House for sale in a highly residential AreaJayanthipura most residential area of BattaramullaTwo- story housewith a spacious living rooms on each floor.4 Bedroom3 BathroomPantry and Kitchen3 vehicle p
https://ikman.lk/en/ad/brand-new-house-for-sale-athurugiriya-for-sale-colombo-901,24000000,Athurugiriya,3,2,"1,200.0 sqft",7.0 perches,Strong Structure Brand New House For Sale Athurugiriya7 Perches & 1200 SQ Ft20 Ft Road3 Bedrooms2 BathroomsServant bathroomModern pantryLiving DiningFinishing roofPipe Born Water & ElectricityRemote R
